ID,bounding_box,future_bounding_box,scenefolderpath,filename,crossing_obs,crossing_true,label
1.0,"[[547.0, 656.0, 32.0, 72.0], [539.5, 655.5, 33.0, 73.0], [532.5, 656.5, 35.0, 75.0], [525.5, 656.0, 37.0, 76.0], [521.0, 656.5, 38.0, 77.0], [520.0, 656.0, 40.0, 78.0], [511.5, 657.0, 41.0, 80.0], [504.0, 656.5, 42.0, 81.0], [496.5, 657.0, 43.0, 82.0], [489.0, 657.0, 44.0, 84.0], [490.0, 657.5, 48.0, 85.0], [482.5, 658.0, 49.0, 86.0], [474.5, 658.0, 49.0, 86.0], [467.0, 658.5, 50.0, 87.0], [459.0, 659.0, 50.0, 88.0], [452.5, 659.5, 51.0, 89.0]]","[[446.5, 659.5, 51.0, 89.0], [440.0, 660.0, 52.0, 90.0], [435.0, 660.5, 52.0, 91.0], [430.5, 661.0, 53.0, 92.0], [425.5, 661.0, 53.0, 92.0], [422.0, 661.5, 54.0, 93.0], [419.5, 662.0, 55.0, 94.0], [417.5, 662.5, 55.0, 95.0], [416.0, 663.0, 56.0, 96.0], [416.5, 663.5, 57.0, 97.0], [407.5, 663.0, 53.0, 98.0], [401.0, 663.5, 50.0, 99.0], [397.0, 664.0, 48.0, 100.0], [386.5, 665.0, 51.0, 102.0], [375.5, 666.0, 53.0, 104.0], [365.0, 667.0, 56.0, 106.0]]","['../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060']","['00000.png', '00001.png', '00002.png', '00003.png', '00004.png', '00005.png', '00006.png', '00007.png', '00008.png', '00009.png', '00010.png', '00011.png', '00012.png', '00013.png', '00014.png', '00015.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1.0,"[[446.5, 659.5, 51.0, 89.0], [440.0, 660.0, 52.0, 90.0], [435.0, 660.5, 52.0, 91.0], [430.5, 661.0, 53.0, 92.0], [425.5, 661.0, 53.0, 92.0], [422.0, 661.5, 54.0, 93.0], [419.5, 662.0, 55.0, 94.0], [417.5, 662.5, 55.0, 95.0], [416.0, 663.0, 56.0, 96.0], [416.5, 663.5, 57.0, 97.0], [407.5, 663.0, 53.0, 98.0], [401.0, 663.5, 50.0, 99.0], [397.0, 664.0, 48.0, 100.0], [386.5, 665.0, 51.0, 102.0], [375.5, 666.0, 53.0, 104.0], [365.0, 667.0, 56.0, 106.0]]","[[355.0, 668.0, 58.0, 108.0], [359.5, 668.0, 61.0, 110.0], [349.5, 669.0, 63.0, 112.0], [340.5, 670.0, 65.0, 114.0], [331.0, 671.0, 68.0, 116.0], [322.0, 671.0, 70.0, 118.0], [325.0, 672.0, 76.0, 120.0], [316.0, 672.0, 78.0, 122.0], [307.0, 673.0, 80.0, 124.0], [298.0, 673.5, 82.0, 127.0], [289.0, 673.5, 84.0, 129.0], [282.0, 673.5, 86.0, 131.0], [275.0, 674.5, 88.0, 133.0], [268.5, 674.5, 89.0, 135.0], [265.5, 674.5, 91.0, 137.0], [262.5, 675.5, 93.0, 139.0]]","['../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060']","['00016.png', '00017.png', '00018.png', '00019.png', '00020.png', '00021.png', '00022.png', '00023.png', '00024.png', '00025.png', '00026.png', '00027.png', '00028.png', '00029.png', '00030.png', '00031.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1.0,"[[355.0, 668.0, 58.0, 108.0], [359.5, 668.0, 61.0, 110.0], [349.5, 669.0, 63.0, 112.0], [340.5, 670.0, 65.0, 114.0], [331.0, 671.0, 68.0, 116.0], [322.0, 671.0, 70.0, 118.0], [325.0, 672.0, 76.0, 120.0], [316.0, 672.0, 78.0, 122.0], [307.0, 673.0, 80.0, 124.0], [298.0, 673.5, 82.0, 127.0], [289.0, 673.5, 84.0, 129.0], [282.0, 673.5, 86.0, 131.0], [275.0, 674.5, 88.0, 133.0], [268.5, 674.5, 89.0, 135.0], [265.5, 674.5, 91.0, 137.0], [262.5, 675.5, 93.0, 139.0]]","[[262.5, 675.5, 95.0, 141.0], [252.0, 676.5, 96.0, 143.0], [240.5, 677.5, 97.0, 145.0], [230.0, 680.0, 98.0, 148.0], [220.0, 681.0, 100.0, 150.0], [210.5, 682.5, 101.0, 153.0], [202.0, 683.5, 102.0, 155.0], [195.5, 684.5, 103.0, 157.0], [190.5, 686.5, 105.0, 159.0], [187.0, 687.5, 106.0, 161.0], [186.5, 688.5, 107.0, 163.0], [178.0, 689.0, 110.0, 164.0], [168.0, 689.5, 112.0, 165.0], [159.0, 689.5, 114.0, 167.0], [151.0, 690.0, 116.0, 168.0], [143.0, 691.0, 118.0, 170.0]]","['../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060']","['00032.png', '00033.png', '00034.png', '00035.png', '00036.png', '00037.png', '00038.png', '00039.png', '00040.png', '00041.png', '00042.png', '00043.png', '00044.png', '00045.png', '00046.png', '00047.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1.0,"[[262.5, 675.5, 95.0, 141.0], [252.0, 676.5, 96.0, 143.0], [240.5, 677.5, 97.0, 145.0], [230.0, 680.0, 98.0, 148.0], [220.0, 681.0, 100.0, 150.0], [210.5, 682.5, 101.0, 153.0], [202.0, 683.5, 102.0, 155.0], [195.5, 684.5, 103.0, 157.0], [190.5, 686.5, 105.0, 159.0], [187.0, 687.5, 106.0, 161.0], [186.5, 688.5, 107.0, 163.0], [178.0, 689.0, 110.0, 164.0], [168.0, 689.5, 112.0, 165.0], [159.0, 689.5, 114.0, 167.0], [151.0, 690.0, 116.0, 168.0], [143.0, 691.0, 118.0, 170.0]]","[[137.5, 691.5, 121.0, 171.0], [131.5, 692.5, 123.0, 173.0], [128.5, 693.0, 125.0, 174.0], [126.5, 693.5, 127.0, 175.0], [126.0, 693.0, 128.0, 176.0], [119.0, 695.0, 128.0, 180.0], [112.5, 697.0, 127.0, 184.0], [106.0, 698.5, 126.0, 187.0], [101.0, 699.5, 126.0, 191.0], [96.5, 701.5, 125.0, 195.0], [92.5, 703.0, 125.0, 198.0], [90.5, 704.5, 125.0, 201.0], [87.0, 705.0, 124.0, 204.0], [86.0, 706.0, 124.0, 206.0], [86.0, 706.0, 124.0, 208.0], [86.0, 706.5, 126.0, 209.0]]","['../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060', '../JAAD/images/video_0060']","['00048.png', '00049.png', '00050.png', '00051.png', '00052.png', '00053.png', '00054.png', '00055.png', '00056.png', '00057.png', '00058.png', '00059.png', '00060.png', '00061.png', '00062.png', '00063.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0
5.0,"[[455.5, 534.0, 31.0, 64.0], [456.0, 534.5, 30.0, 65.0], [455.5, 534.0, 29.0, 66.0], [455.5, 534.5, 27.0, 67.0], [455.0, 534.0, 26.0, 68.0], [454.0, 535.0, 28.0, 68.0], [453.0, 536.5, 30.0, 69.0], [452.5, 537.5, 31.0, 69.0], [451.5, 539.0, 33.0, 70.0], [450.5, 540.0, 35.0, 70.0], [447.5, 541.0, 35.0, 70.0], [445.5, 542.0, 35.0, 70.0], [442.5, 544.0, 35.0, 70.0], [440.5, 545.0, 35.0, 70.0], [437.5, 546.0, 35.0, 70.0], [436.5, 545.5, 33.0, 71.0]]","[[435.0, 545.5, 32.0, 73.0], [434.0, 544.0, 30.0, 74.0], [432.5, 544.0, 29.0, 76.0], [431.5, 543.5, 27.0, 77.0], [429.5, 543.0, 29.0, 78.0], [427.5, 541.0, 31.0, 78.0], [425.5, 540.5, 33.0, 79.0], [423.5, 538.5, 35.0, 79.0], [421.5, 538.0, 37.0, 80.0], [419.0, 541.0, 36.0, 80.0], [417.0, 543.5, 36.0, 81.0], [413.5, 546.5, 35.0, 81.0], [411.5, 549.0, 35.0, 82.0], [409.0, 552.0, 34.0, 82.0], [407.0, 551.5, 34.0, 83.0], [405.0, 551.0, 34.0, 84.0]]","['../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114']","['00000.png', '00001.png', '00002.png', '00003.png', '00004.png', '00005.png', '00006.png', '00007.png', '00008.png', '00009.png', '00010.png', '00011.png', '00012.png', '00013.png', '00014.png', '00015.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
5.0,"[[435.0, 545.5, 32.0, 73.0], [434.0, 544.0, 30.0, 74.0], [432.5, 544.0, 29.0, 76.0], [431.5, 543.5, 27.0, 77.0], [429.5, 543.0, 29.0, 78.0], [427.5, 541.0, 31.0, 78.0], [425.5, 540.5, 33.0, 79.0], [423.5, 538.5, 35.0, 79.0], [421.5, 538.0, 37.0, 80.0], [419.0, 541.0, 36.0, 80.0], [417.0, 543.5, 36.0, 81.0], [413.5, 546.5, 35.0, 81.0], [411.5, 549.0, 35.0, 82.0], [409.0, 552.0, 34.0, 82.0], [407.0, 551.5, 34.0, 83.0], [405.0, 551.0, 34.0, 84.0]]","[[403.5, 550.0, 35.0, 84.0], [401.5, 549.5, 35.0, 85.0], [399.5, 549.0, 35.0, 86.0], [397.0, 548.0, 38.0, 86.0], [394.0, 546.0, 40.0, 86.0], [392.5, 545.0, 43.0, 86.0], [389.5, 543.0, 45.0, 86.0], [387.0, 542.0, 48.0, 86.0], [385.0, 541.5, 44.0, 87.0], [383.5, 541.0, 41.0, 88.0], [382.5, 540.0, 37.0, 90.0], [381.0, 539.5, 34.0, 91.0], [379.0, 539.0, 30.0, 92.0], [377.0, 537.5, 34.0, 93.0], [375.5, 536.5, 37.0, 93.0], [373.5, 535.0, 41.0, 94.0]]","['../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114']","['00016.png', '00017.png', '00018.png', '00019.png', '00020.png', '00021.png', '00022.png', '00023.png', '00024.png', '00025.png', '00026.png', '00027.png', '00028.png', '00029.png', '00030.png', '00031.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
5.0,"[[403.5, 550.0, 35.0, 84.0], [401.5, 549.5, 35.0, 85.0], [399.5, 549.0, 35.0, 86.0], [397.0, 548.0, 38.0, 86.0], [394.0, 546.0, 40.0, 86.0], [392.5, 545.0, 43.0, 86.0], [389.5, 543.0, 45.0, 86.0], [387.0, 542.0, 48.0, 86.0], [385.0, 541.5, 44.0, 87.0], [383.5, 541.0, 41.0, 88.0], [382.5, 540.0, 37.0, 90.0], [381.0, 539.5, 34.0, 91.0], [379.0, 539.0, 30.0, 92.0], [377.0, 537.5, 34.0, 93.0], [375.5, 536.5, 37.0, 93.0], [373.5, 535.0, 41.0, 94.0]]","[[372.0, 534.0, 44.0, 94.0], [370.0, 532.5, 48.0, 95.0], [367.5, 533.0, 47.0, 96.0], [364.5, 534.5, 45.0, 97.0], [362.0, 534.5, 44.0, 97.0], [359.0, 536.0, 42.0, 98.0], [356.5, 536.5, 41.0, 99.0], [355.0, 538.0, 40.0, 100.0], [353.5, 539.5, 39.0, 101.0], [353.5, 542.0, 39.0, 102.0], [352.0, 543.5, 38.0, 103.0], [350.5, 545.0, 37.0, 104.0], [348.5, 544.0, 41.0, 104.0], [346.0, 543.0, 44.0, 104.0], [345.0, 543.0, 48.0, 104.0], [342.5, 542.0, 51.0, 104.0]]","['../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114']","['00032.png', '00033.png', '00034.png', '00035.png', '00036.png', '00037.png', '00038.png', '00039.png', '00040.png', '00041.png', '00042.png', '00043.png', '00044.png', '00045.png', '00046.png', '00047.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
5.0,"[[372.0, 534.0, 44.0, 94.0], [370.0, 532.5, 48.0, 95.0], [367.5, 533.0, 47.0, 96.0], [364.5, 534.5, 45.0, 97.0], [362.0, 534.5, 44.0, 97.0], [359.0, 536.0, 42.0, 98.0], [356.5, 536.5, 41.0, 99.0], [355.0, 538.0, 40.0, 100.0], [353.5, 539.5, 39.0, 101.0], [353.5, 542.0, 39.0, 102.0], [352.0, 543.5, 38.0, 103.0], [350.5, 545.0, 37.0, 104.0], [348.5, 544.0, 41.0, 104.0], [346.0, 543.0, 44.0, 104.0], [345.0, 543.0, 48.0, 104.0], [342.5, 542.0, 51.0, 104.0]]","[[340.5, 541.0, 55.0, 104.0], [338.0, 540.5, 52.0, 105.0], [336.5, 540.0, 49.0, 106.0], [333.5, 539.5, 45.0, 107.0], [332.0, 539.0, 42.0, 108.0], [329.5, 538.5, 39.0, 109.0], [330.0, 540.5, 40.0, 111.0], [330.0, 542.5, 42.0, 113.0], [330.5, 543.5, 43.0, 115.0], [330.5, 545.5, 45.0, 117.0], [331.0, 547.5, 46.0, 119.0], [330.0, 552.0, 46.0, 120.0], [329.0, 556.0, 46.0, 122.0], [328.5, 560.5, 45.0, 123.0], [327.5, 565.5, 45.0, 125.0], [326.5, 570.0, 45.0, 126.0]]","['../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114']","['00048.png', '00049.png', '00050.png', '00051.png', '00052.png', '00053.png', '00054.png', '00055.png', '00056.png', '00057.png', '00058.png', '00059.png', '00060.png', '00061.png', '00062.png', '00063.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
5.0,"[[340.5, 541.0, 55.0, 104.0], [338.0, 540.5, 52.0, 105.0], [336.5, 540.0, 49.0, 106.0], [333.5, 539.5, 45.0, 107.0], [332.0, 539.0, 42.0, 108.0], [329.5, 538.5, 39.0, 109.0], [330.0, 540.5, 40.0, 111.0], [330.0, 542.5, 42.0, 113.0], [330.5, 543.5, 43.0, 115.0], [330.5, 545.5, 45.0, 117.0], [331.0, 547.5, 46.0, 119.0], [330.0, 552.0, 46.0, 120.0], [329.0, 556.0, 46.0, 122.0], [328.5, 560.5, 45.0, 123.0], [327.5, 565.5, 45.0, 125.0], [326.5, 570.0, 45.0, 126.0]]","[[325.5, 573.5, 45.0, 127.0], [324.5, 578.5, 45.0, 129.0], [324.0, 583.0, 44.0, 130.0], [323.0, 587.0, 44.0, 132.0], [322.0, 591.5, 44.0, 133.0], [321.5, 590.0, 49.0, 134.0], [322.0, 587.0, 54.0, 134.0], [321.5, 585.5, 59.0, 135.0], [322.0, 582.5, 64.0, 135.0], [321.5, 581.0, 69.0, 136.0], [320.0, 581.0, 68.0, 136.0], [319.5, 582.5, 67.0, 137.0], [318.0, 582.5, 66.0, 137.0], [317.5, 584.0, 65.0, 138.0], [316.0, 584.0, 64.0, 138.0], [318.5, 584.5, 61.0, 139.0]]","['../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114']","['00064.png', '00065.png', '00066.png', '00067.png', '00068.png', '00069.png', '00070.png', '00071.png', '00072.png', '00073.png', '00074.png', '00075.png', '00076.png', '00077.png', '00078.png', '00079.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",1.0
6.0,"[[1068.0, 504.5, 20.0, 43.0], [1068.0, 503.5, 16.0, 43.0], [1069.0, 503.5, 16.0, 43.0], [1069.0, 502.5, 16.0, 43.0], [1070.0, 502.5, 16.0, 43.0], [1069.5, 501.5, 15.0, 43.0], [1070.5, 501.5, 15.0, 43.0], [1070.5, 500.5, 15.0, 43.0], [1071.5, 500.5, 15.0, 43.0], [1071.5, 499.5, 15.0, 43.0], [1072.0, 499.5, 16.0, 43.0], [1072.0, 499.5, 16.0, 43.0], [1071.5, 499.5, 17.0, 43.0], [1071.5, 499.5, 17.0, 43.0], [1072.0, 499.5, 18.0, 43.0], [1072.0, 499.5, 18.0, 43.0]]","[[1072.5, 499.5, 19.0, 43.0], [1072.0, 499.5, 20.0, 43.0], [1070.0, 498.5, 20.0, 43.0], [1069.0, 497.0, 20.0, 44.0], [1067.0, 496.0, 20.0, 44.0], [1066.0, 495.5, 20.0, 45.0], [1065.0, 494.5, 20.0, 45.0], [1065.0, 494.5, 20.0, 45.0], [1065.0, 494.0, 20.0, 46.0], [1065.0, 494.0, 20.0, 46.0], [1065.0, 494.5, 20.0, 47.0], [1065.0, 495.5, 20.0, 47.0], [1065.0, 495.5, 20.0, 47.0], [1065.0, 496.0, 20.0, 48.0], [1065.0, 496.0, 20.0, 48.0], [1066.0, 497.5, 20.0, 49.0]]","['../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114', '../JAAD/images/video_0114']","['00000.png', '00001.png', '00002.png', '00003.png', '00004.png', '00005.png', '00006.png', '00007.png', '00008.png', '00009.png', '00010.png', '00011.png', '00012.png', '00013.png', '00014.png', '00015.png']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
